COLLISION_ID,NUM_ACCIDENTS_BOROUGH,NUM_ACCIDENTS_ON_STREET,TIME_OF_DAY,SEVERITY,TEMPERATURE,RAIN_INTENSITY,CLOUDCOVER,WIND_INTENSITY,TRAFFIC_VOLUME,MEDIA,IS_NOT_FATAL
4211372,1067,252,morning,minor,mild,null,0,weak,medium,200.64,1
4210970,676,10,morning,minor,mild,null,0,weak,light,81.08,1
4211720,676,11,evening,minor,hot,null,0,weak,light,78.45,1
4211216,1067,252,evening,minor,hot,null,0,weak,medium,200.64,1
4210794,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4211427,60,6,morning,minor,mild,null,0,weak,medium,257.33,1
4210978,676,22,morning,minor,mild,null,0,weak,light,59.18,1
4211392,1514,178,afternoon,minor,mild,null,0,weak,light,111.61,1
4236999,1514,178,afternoon,minor,mild,null,0,weak,light,111.61,1
4211258,676,42,afternoon,minor,mild,null,0,weak,light,131.94,1
4211067,1067,25,afternoon,minor,mild,null,0,weak,medium,159.8,1
4213566,1067,8,evening,moderate,hot,null,0,weak,light,62.81,0
4211010,676,28,morning,minor,mild,null,0,weak,light,84.61,1
4211572,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4212264,1067,16,morning,minor,mild,null,0,weak,medium,109.09,1
4211081,676,10,afternoon,moderate,mild,null,0,weak,medium,81.08,0
4211500,1067,5,afternoon,moderate,mild,null,0,weak,light,53.5,0
4211289,676,86,evening,minor,hot,null,0,weak,medium,190.94,1
4213496,1514,178,evening,minor,hot,null,0,weak,light,111.61,1
4211718,1514,178,evening,minor,hot,null,0,weak,light,111.61,1
4211188,60,7,afternoon,moderate,hot,null,0,weak,medium,169.7,0
4211415,60,6,afternoon,moderate,hot,null,0,weak,medium,257.33,0
4211179,676,2,afternoon,minor,hot,null,0,weak,medium,109.25,1
4211154,676,3,afternoon,minor,hot,null,0,weak,medium,140.5,1
4211133,1067,25,afternoon,moderate,hot,null,0,weak,medium,159.8,0
4211269,676,86,evening,moderate,hot,weak,0,weak,light,190.94,0
4211998,1067,44,evening,minor,mild,null,0,weak,light,118.47,1
4212153,1514,178,evening,minor,mild,null,0,weak,light,111.61,1
4211503,676,7,morning,moderate,mild,null,0,weak,light,58.93,0
4212208,60,4,morning,moderate,mild,null,0,weak,medium,124.62,0
4212117,1514,178,evening,moderate,mild,null,0,weak,light,111.61,0
4212913,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4212210,1067,4,morning,minor,mild,null,0,weak,light,68.0,1
4211782,1067,11,morning,minor,mild,null,0,weak,medium,185.7,1
4212084,1067,6,afternoon,minor,mild,null,1,weak,medium,88.17,1
4211906,1067,252,afternoon,minor,mild,null,1,weak,medium,200.64,1
4212549,60,18,afternoon,moderate,mild,null,1,weak,medium,163.63,0
4212041,1067,252,afternoon,minor,mild,null,1,weak,medium,200.64,1
4211959,1067,44,afternoon,moderate,mild,null,0,weak,medium,118.47,0
4211992,1067,15,afternoon,minor,mild,null,0,weak,medium,94.7,1
4212200,1067,4,afternoon,moderate,mild,null,0,weak,light,68.0,0
4212555,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4211712,1067,6,morning,minor,mild,null,0,weak,light,88.17,1
4211949,676,86,evening,minor,mild,null,0,weak,medium,190.94,1
4253896,1067,12,evening,minor,mild,null,0,weak,light,71.29,1
4213219,1067,252,night,moderate,mild,null,0,weak,light,200.64,0
4212132,676,1,morning,minor,mild,null,0,weak,light,82.5,1
4212082,1067,6,morning,minor,mild,null,0,weak,medium,116.67,1
4212127,1514,178,evening,minor,mild,null,0,weak,light,111.61,1
4212410,1514,178,evening,moderate,mild,null,0,weak,light,111.61,0
4211456,676,42,morning,moderate,mild,null,0,weak,medium,131.94,0
4215560,1514,178,afternoon,minor,mild,null,1,weak,medium,111.61,1
4211864,676,42,evening,moderate,mild,null,1,weak,medium,131.94,0
4212096,1067,11,evening,minor,mild,null,1,weak,light,106.09,1
4212092,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4211785,1067,11,morning,minor,mild,null,0,weak,light,106.09,1
4212704,676,22,morning,moderate,mild,null,0,weak,light,59.18,0
4212421,1514,178,morning,moderate,mild,null,0,weak,light,111.61,0
4212610,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4212322,676,42,morning,minor,mild,null,0,weak,medium,131.94,1
4212336,676,42,morning,minor,mild,null,0,weak,medium,131.94,1
4212226,1067,252,morning,moderate,mild,null,0,weak,medium,200.64,0
4212761,676,22,afternoon,minor,mild,null,0,weak,light,59.18,1
4212510,1067,9,afternoon,minor,mild,null,0,weak,light,100.94,1
4212449,1067,11,morning,minor,mild,null,0,weak,medium,185.7,1
4212318,676,28,morning,moderate,mild,null,0,weak,medium,84.61,0
4212556,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4212746,1067,16,afternoon,minor,mild,null,0,weak,light,70.75,1
4212620,676,3,afternoon,minor,mild,null,0,weak,medium,140.5,1
4215185,1514,178,evening,minor,mild,null,0,weak,light,111.61,1
4212521,676,86,evening,minor,mild,null,0,weak,medium,190.94,1
4213452,1514,4,evening,minor,mild,null,0,weak,light,39.56,1
4212498,676,42,evening,minor,mild,null,0,weak,medium,131.94,1
4214107,1067,16,evening,moderate,mild,null,0,weak,light,70.75,0
4212766,1514,178,evening,moderate,mild,null,0,weak,light,111.61,0
4213003,676,11,evening,minor,mild,null,0,weak,light,78.45,1
4212365,1067,11,morning,moderate,mild,null,0,weak,medium,185.7,0
4212443,676,22,morning,moderate,mild,null,0,weak,light,59.18,0
4212239,676,10,morning,minor,mild,null,0,weak,medium,81.08,1
4216350,1067,8,morning,minor,mild,null,0,weak,light,62.81,1
4212604,676,7,morning,minor,mild,null,0,weak,medium,216.43,1
4212731,676,42,morning,minor,mild,null,0,weak,medium,131.94,1
4213416,60,4,morning,moderate,mild,null,0,weak,medium,124.62,0
4214149,1067,252,morning,minor,mild,null,0,weak,medium,200.64,1
4212552,60,6,afternoon,minor,mild,null,1,weak,medium,257.33,1
4212848,1067,3,afternoon,minor,mild,null,1,weak,medium,88.0,1
4213004,676,11,evening,minor,mild,null,0,weak,light,78.45,1
4212558,676,28,evening,minor,mild,null,0,weak,light,84.61,1
4212358,1067,8,afternoon,minor,mild,null,0,weak,light,62.81,1
4212517,676,3,night,minor,mild,null,0,weak,light,14.67,1
4212617,676,7,night,minor,mild,null,0,weak,light,58.93,1
4212545,60,18,morning,minor,mild,null,0,weak,medium,163.63,1
4212314,676,25,morning,minor,mild,null,0,weak,light,54.79,1
4212605,676,7,morning,minor,mild,null,0,weak,medium,216.43,1
4212542,60,18,morning,moderate,mild,null,0,weak,medium,163.63,0
4212136,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4214627,1067,25,evening,minor,mild,null,0,weak,medium,159.8,1
4222190,1514,178,evening,minor,mild,null,0,weak,light,111.61,1
4212356,676,42,morning,minor,mild,null,0,weak,light,131.94,1
4214125,1067,252,night,minor,mild,null,0,weak,medium,200.64,1
4214986,1514,178,night,moderate,mild,null,0,weak,light,111.61,0
4216428,1514,178,afternoon,minor,mild,null,0,weak,medium,111.61,1
4213753,1067,16,afternoon,minor,mild,null,0,weak,light,70.75,1
4213316,676,3,afternoon,minor,mild,null,0,weak,light,31.83,1
4213176,676,86,afternoon,minor,mild,null,0,weak,medium,190.94,1
4213652,676,5,afternoon,minor,mild,null,0,weak,medium,84.1,1
