Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,24,9,45,QUEENS,40.7568,-73.873665,JUNCTION BOULEVARD,NORTHERN BOULEVARD,,0,0,19.5,0.0,0.0,0.0,12.1,282.0,QUEENS,217.75
2019,9,24,9,30,BROOKLYN,40.62775,-73.93462,EAST 43 STREET,AVENUE J,,0,0,19.5,0.0,0.0,0.0,12.1,282.0,BROOKLYN,68.5
2019,9,24,9,30,QUEENS,40.763958,-73.82814,UNION STREET,NORTHERN BOULEVARD,,0,0,19.5,0.0,0.0,0.0,12.1,282.0,QUEENS,216.5
2019,9,24,9,0,BROOKLYN,40.634167,-74.02073,68 STREET,5 AVENUE,,0,0,19.5,0.0,0.0,0.0,12.1,282.0,BROOKLYN,85.0
2019,9,24,16,30,QUEENS,40.763958,-73.82814,UNION STREET,NORTHERN BOULEVARD,,0,0,22.5,0.0,0.0,81.0,16.6,294.0,QUEENS,240.25
2019,9,24,16,30,STATEN ISLAND,40.613525,-74.11685,SLOSSON AVENUE,VICTORY BOULEVARD,,0,0,22.5,0.0,0.0,81.0,16.6,294.0,STATEN ISLAND,356.6666666666667
2019,9,24,16,15,BROOKLYN,40.69119,-73.9978,ATLANTIC AVENUE,HICKS STREET,,0,0,22.5,0.0,0.0,81.0,16.6,294.0,BROOKLYN,123.0
2019,9,24,16,15,QUEENS,40.76229,-73.75711,CROSS ISLAND PARKWAY,NORTHERN BOULEVARD,,4,0,22.5,0.0,0.0,81.0,16.6,294.0,QUEENS,256.5
2019,9,24,14,15,QUEENS,40.753536,-73.8869,34 AVENUE,80 STREET,,0,0,21.0,0.0,0.0,5.0,13.3,289.0,QUEENS,147.5
2019,9,24,14,15,BROOKLYN,40.67689,-73.900055,EAST NEW YORK AVENUE,BROADWAY,,1,0,21.0,0.0,0.0,5.0,13.3,289.0,MANHATTAN,70.0
2019,9,24,7,45,BROOKLYN,40.680035,-73.9055,EASTERN PARKWAY,BROADWAY,,2,0,21.0,0.0,0.0,3.0,11.2,249.0,MANHATTAN,69.5
2019,9,24,21,15,QUEENS,40.757755,-73.79304,NORTHERN BOULEVARD,UTOPIA PARKWAY,,0,0,23.6,0.0,0.0,1.0,14.8,309.0,QUEENS,55.0
2019,9,24,11,30,QUEENS,40.774235,-73.79164,26 AVENUE,200 STREET,,0,0,18.1,0.0,0.0,0.0,9.0,275.0,QUEENS,20.0
2019,9,24,12,30,QUEENS,40.727383,-73.864105,AUSTIN STREET,63 DRIVE,,0,0,19.1,0.0,0.0,0.0,11.2,272.0,QUEENS,73.0
2019,9,24,12,45,QUEENS,40.75383,-73.81841,BOWNE STREET,45 AVENUE,,0,0,19.1,0.0,0.0,0.0,11.2,272.0,QUEENS,19.0
2019,9,24,6,30,MANHATTAN,40.74949,-73.98798,AVENUE OF THE AMERICAS,BROADWAY,,1,0,21.7,0.0,0.0,0.0,10.2,238.0,MANHATTAN,87.5
2019,9,24,17,0,MANHATTAN,40.773033,-73.98221,WEST 65 STREET,BROADWAY,,0,0,23.0,0.0,0.0,99.0,16.6,292.0,MANHATTAN,97.5
